city,date,n,no_killed,no_injured
Seattle,2013-01-01,38,0,
Seattle,2013-01-02,44,0,
Seattle,2013-01-03,33,0,
Seattle,2013-01-04,40,0,
Seattle,2013-01-05,24,0,
Seattle,2013-01-06,25,0,
Seattle,2013-01-07,36,0,
Seattle,2013-01-08,51,0,
Seattle,2013-01-09,47,0,
Seattle,2013-01-10,29,0,
Seattle,2013-01-11,40,0,
Seattle,2013-01-12,29,0,
Seattle,2013-01-13,17,0,
Seattle,2013-01-14,20,0,
Seattle,2013-01-15,39,0,
Seattle,2013-01-16,30,0,
Seattle,2013-01-17,45,0,
Seattle,2013-01-18,27,0,
Seattle,2013-01-19,27,0,
Seattle,2013-01-20,22,0,
Seattle,2013-01-21,15,0,
Seattle,2013-01-22,29,0,
Seattle,2013-01-23,41,0,
Seattle,2013-01-24,44,0,
Seattle,2013-01-25,36,0,
Seattle,2013-01-26,21,0,
Seattle,2013-01-27,25,0,
Seattle,2013-01-28,40,0,
Seattle,2013-01-29,42,0,
Seattle,2013-01-30,38,0,
Seattle,2013-01-31,37,0,
Seattle,2013-02-01,40,0,
Seattle,2013-02-02,34,0,
Seattle,2013-02-03,29,0,
Seattle,2013-02-04,35,0,
Seattle,2013-02-05,44,0,
Seattle,2013-02-06,33,0,
Seattle,2013-02-07,37,0,
Seattle,2013-02-08,28,0,
Seattle,2013-02-09,32,0,
Seattle,2013-02-10,16,0,
Seattle,2013-02-11,37,0,
Seattle,2013-02-12,34,0,
Seattle,2013-02-13,37,0,
Seattle,2013-02-14,31,0,
Seattle,2013-02-15,30,0,
Seattle,2013-02-16,20,0,
Seattle,2013-02-17,14,0,
Seattle,2013-02-18,30,0,
Seattle,2013-02-19,25,0,
Seattle,2013-02-20,31,0,
Seattle,2013-02-21,27,0,
Seattle,2013-02-22,35,0,
Seattle,2013-02-23,38,0,
Seattle,2013-02-24,23,0,
Seattle,2013-02-25,29,0,
Seattle,2013-02-26,32,1,
Seattle,2013-02-27,38,0,
Seattle,2013-02-28,41,0,
Seattle,2013-03-01,35,0,
Seattle,2013-03-02,26,1,
Seattle,2013-03-03,24,0,
Seattle,2013-03-04,25,0,
Seattle,2013-03-05,32,0,
Seattle,2013-03-06,42,0,
Seattle,2013-03-07,53,0,
Seattle,2013-03-08,32,0,
Seattle,2013-03-09,30,0,
Seattle,2013-03-10,15,0,
Seattle,2013-03-11,30,0,
Seattle,2013-03-12,39,0,
Seattle,2013-03-13,53,0,
Seattle,2013-03-14,33,0,
Seattle,2013-03-15,34,0,
Seattle,2013-03-16,21,0,
Seattle,2013-03-17,20,0,
Seattle,2013-03-18,17,0,
Seattle,2013-03-19,36,0,
Seattle,2013-03-20,36,0,
Seattle,2013-03-21,27,0,
Seattle,2013-03-22,42,0,
Seattle,2013-03-23,22,0,
Seattle,2013-03-24,29,0,
Seattle,2013-03-25,27,2,
Seattle,2013-03-26,34,0,
Seattle,2013-03-27,39,0,
Seattle,2013-03-28,39,0,
Seattle,2013-03-29,23,0,
Seattle,2013-03-30,40,0,
Seattle,2013-03-31,30,0,
Seattle,2013-04-01,27,0,
Seattle,2013-04-02,35,0,
Seattle,2013-04-03,26,0,
Seattle,2013-04-04,56,0,
Seattle,2013-04-05,46,0,
Seattle,2013-04-06,48,0,
Seattle,2013-04-07,41,0,
Seattle,2013-04-08,38,0,
Seattle,2013-04-09,35,0,
Seattle,2013-04-10,30,0,
Seattle,2013-04-11,33,0,
Seattle,2013-04-12,46,0,
Seattle,2013-04-13,47,0,
Seattle,2013-04-14,32,0,
Seattle,2013-04-15,41,0,
Seattle,2013-04-16,30,0,
Seattle,2013-04-17,28,0,
Seattle,2013-04-18,41,0,
Seattle,2013-04-19,47,0,
Seattle,2013-04-20,40,0,
Seattle,2013-04-21,22,0,
Seattle,2013-04-22,35,0,
Seattle,2013-04-23,45,0,
Seattle,2013-04-24,51,0,
Seattle,2013-04-25,36,0,
Seattle,2013-04-26,38,0,
Seattle,2013-04-27,39,0,
Seattle,2013-04-28,25,0,
Seattle,2013-04-29,33,0,
Seattle,2013-04-30,32,0,
Seattle,2013-05-01,46,1,
Seattle,2013-05-02,44,0,
Seattle,2013-05-03,48,0,
Seattle,2013-05-04,28,0,
Seattle,2013-05-05,37,0,
Seattle,2013-05-06,46,0,
Seattle,2013-05-07,35,0,
Seattle,2013-05-08,37,0,
Seattle,2013-05-09,34,0,
Seattle,2013-05-10,48,0,
Seattle,2013-05-11,33,0,
Seattle,2013-05-12,28,0,
Seattle,2013-05-13,42,0,
Seattle,2013-05-14,30,1,
Seattle,2013-05-15,43,0,
Seattle,2013-05-16,42,0,
Seattle,2013-05-17,37,0,
Seattle,2013-05-18,38,0,
Seattle,2013-05-19,22,0,
Seattle,2013-05-20,34,0,
Seattle,2013-05-21,39,0,
Seattle,2013-05-22,42,0,
Seattle,2013-05-23,36,0,
Seattle,2013-05-24,26,0,
Seattle,2013-05-25,27,0,
Seattle,2013-05-26,29,0,
Seattle,2013-05-27,29,0,
Seattle,2013-05-28,28,0,
Seattle,2013-05-29,53,0,
Seattle,2013-05-30,38,1,
Seattle,2013-05-31,31,0,
Seattle,2013-06-01,38,0,
Seattle,2013-06-02,33,0,
Seattle,2013-06-03,22,0,
Seattle,2013-06-04,43,0,
Seattle,2013-06-05,37,0,
Seattle,2013-06-06,34,0,
Seattle,2013-06-07,41,0,
Seattle,2013-06-08,34,0,
Seattle,2013-06-09,39,0,
Seattle,2013-06-10,33,0,
Seattle,2013-06-11,35,0,
Seattle,2013-06-12,39,0,
Seattle,2013-06-13,47,0,
Seattle,2013-06-14,32,0,
Seattle,2013-06-15,35,0,
Seattle,2013-06-16,22,0,
Seattle,2013-06-17,34,0,
Seattle,2013-06-18,26,0,
Seattle,2013-06-19,31,0,
Seattle,2013-06-20,59,0,
Seattle,2013-06-21,41,0,
Seattle,2013-06-22,46,0,
Seattle,2013-06-23,30,0,
Seattle,2013-06-24,41,0,
Seattle,2013-06-25,36,0,
Seattle,2013-06-26,47,1,
Seattle,2013-06-27,38,0,
Seattle,2013-06-28,50,0,
Seattle,2013-06-29,32,0,
Seattle,2013-06-30,38,0,
Seattle,2013-07-01,33,0,
Seattle,2013-07-02,42,0,
Seattle,2013-07-03,42,0,
Seattle,2013-07-04,40,0,
Seattle,2013-07-05,39,0,
Seattle,2013-07-06,32,0,
Seattle,2013-07-07,25,0,
Seattle,2013-07-08,26,0,
Seattle,2013-07-09,34,0,
Seattle,2013-07-10,28,0,
Seattle,2013-07-11,41,0,
Seattle,2013-07-12,35,0,
Seattle,2013-07-13,38,0,
Seattle,2013-07-14,29,0,
Seattle,2013-07-15,29,0,
Seattle,2013-07-16,41,0,
Seattle,2013-07-17,40,0,
Seattle,2013-07-18,33,0,
Seattle,2013-07-19,54,0,
Seattle,2013-07-20,30,0,
Seattle,2013-07-21,26,0,
Seattle,2013-07-22,39,0,
Seattle,2013-07-23,42,0,
Seattle,2013-07-24,46,0,
Seattle,2013-07-25,54,0,
Seattle,2013-07-26,47,1,
Seattle,2013-07-27,43,1,
Seattle,2013-07-28,23,0,
Seattle,2013-07-29,27,0,
Seattle,2013-07-30,39,0,
Seattle,2013-07-31,32,0,
Seattle,2013-08-01,37,0,
Seattle,2013-08-02,45,0,
Seattle,2013-08-03,31,0,
Seattle,2013-08-04,40,1,
Seattle,2013-08-05,47,0,
Seattle,2013-08-06,34,0,
Seattle,2013-08-07,37,0,
Seattle,2013-08-08,36,0,
Seattle,2013-08-09,46,0,
Seattle,2013-08-10,40,0,
Seattle,2013-08-11,30,0,
Seattle,2013-08-12,25,0,
Seattle,2013-08-13,36,0,
Seattle,2013-08-14,40,0,
Seattle,2013-08-15,49,0,
Seattle,2013-08-16,43,0,
Seattle,2013-08-17,33,0,
Seattle,2013-08-18,36,0,
Seattle,2013-08-19,26,0,
Seattle,2013-08-20,37,0,
Seattle,2013-08-21,36,0,
Seattle,2013-08-22,25,0,
Seattle,2013-08-23,31,0,
Seattle,2013-08-24,30,0,
Seattle,2013-08-25,30,0,
Seattle,2013-08-26,38,0,
Seattle,2013-08-27,36,0,
Seattle,2013-08-28,35,1,
Seattle,2013-08-29,53,0,
Seattle,2013-08-30,36,0,
Seattle,2013-08-31,33,0,
Seattle,2013-09-01,34,0,
Seattle,2013-09-02,15,0,
Seattle,2013-09-03,36,0,
Seattle,2013-09-04,24,0,
Seattle,2013-09-05,35,0,
Seattle,2013-09-06,46,0,
Seattle,2013-09-07,32,0,
Seattle,2013-09-08,24,0,
Seattle,2013-09-09,30,0,
Seattle,2013-09-10,43,0,
Seattle,2013-09-11,57,0,
Seattle,2013-09-12,33,0,
Seattle,2013-09-13,29,0,
Seattle,2013-09-14,33,0,
Seattle,2013-09-15,32,0,
Seattle,2013-09-16,28,0,
Seattle,2013-09-17,28,0,
Seattle,2013-09-18,29,0,
Seattle,2013-09-19,36,0,
Seattle,2013-09-20,38,0,
Seattle,2013-09-21,36,1,
Seattle,2013-09-22,43,0,
Seattle,2013-09-23,36,0,
Seattle,2013-09-24,31,0,
